URL,Has_IP_Address,Has_At_Symbol,URL_Length,Is_Shortened,Label
http://paypal-login-secure.com,0,1,30,0,1
http://123.45.67.89/login,1,0,25,0,1
https://bit.ly/3xyzsecure,0,0,25,1,1
https://www.bankofamerica.com,0,0,29,0,0
https://secure.amazon.com,0,0,25,0,0
http://amazon.nodeiq2.hongfengyd.com,0,1,36,0,1
https://www.comptia.org/home,0,0,28,0,0
https://tinyurl.com/amazonlogin,0,0,31,1,1
http://www.comptia.com/12348,0,0,28,0,1
http://amazon.com@fake-verify-login.com,0,1,39,0,1
https://bit.ly/3fakepay,0,0,23,1,1
https://tinyurl.com/loginupdate,0,0,31,1,1
http://secure-bank-login-update.com,0,0,35,0,1
http://81.92.17.11/update,1,0,25,0,1
https://www.netflix.com,0,0,23,0,0
https://www.apple.com,0,0,21,0,0
https://ow.ly/secureamazon,0,0,26,1,1
https://secure-chasebank.com-login.verify,0,0,41,0,1
http://dropbox.com@update-login.com,0,1,35,0,1
http://update-appleid-login.com,0,0,31,0,1
https://www.microsoft.com,0,0,25,0,0
http://secure-paypal-portal.com,0,0,31,0,1
